156.246.93.242:443#JP [延迟3ms 下载742.35M]
45.192.207.141:443#JP [延迟1ms 下载716.98M]
156.246.95.196:443#JP [延迟8ms 下载671.09M]
156.246.95.216:2053#JP [延迟6ms 下载665.76M]
156.246.91.88:443#JP [延迟12ms 下载599.19M]
156.246.95.5:443#JP [延迟1ms 下载594.94M]
156.246.91.196:443#JP [延迟10ms 下载578.52M]
156.246.94.193:8443#JP [延迟1ms 下载524.29M]
156.246.90.245:443#JP [延迟4ms 下载511.50M]
38.207.130.185:443#JP [延迟1ms 下载499.32M]
45.192.206.31:8443#JP [延迟1ms 下载446.20M]
156.246.94.248:443#JP [延迟8ms 下载246.72M]
83.147.13.193:443#TW [延迟30ms 下载168.45M]
166.0.198.232:2087#TW [延迟31ms 下载161.32M]
83.147.12.20:443#TW [延迟31ms 下载160.70M]
45.207.159.187:443#TW [延迟31ms 下载159.78M]
82.152.91.222:443#TW [延迟30ms 下载159.48M]
83.147.15.17:443#TW [延迟31ms 下载155.34M]
141.11.86.150:8443#TW [延迟31ms 下载148.47M]
83.147.14.62:8443#TW [延迟31ms 下载145.64M]
141.11.86.35:443#TW [延迟30ms 下载145.13M]
83.147.13.61:443#TW [延迟31ms 下载145.13M]
166.0.198.193:443#TW [延迟31ms 下载139.81M]
45.207.158.194:8443#TW [延迟31ms 下载133.15M]
45.192.247.155:2053#HK [延迟44ms 下载132.10M]
45.207.156.69:8443#HK [延迟44ms 下载131.90M]
45.192.247.155:443#HK [延迟44ms 下载131.90M]
45.192.247.155:2096#HK [延迟44ms 下载130.66M]
156.224.78.201:443#HK [延迟44ms 下载130.06M]
156.224.77.87:443#HK [延迟44ms 下载129.45M]
141.11.91.16:443#HK [延迟44ms 下载129.25M]
45.192.247.177:443#HK [延迟44ms 下载128.86M]
45.207.35.244:2053#MO [延迟44ms 下载128.66M]
141.11.91.164:443#HK [延迟44ms 下载128.46M]
178.83.206.126:443#HK [延迟44ms 下载128.27M]
141.11.90.154:443#HK [延迟44ms 下载128.07M]
156.224.78.162:443#HK [延迟44ms 下载128.07M]
45.207.156.69:443#HK [延迟44ms 下载127.88M]
156.224.78.201:8443#HK [延迟44ms 下载127.68M]
45.202.248.172:443#HK [延迟44ms 下载127.49M]
45.192.247.199:443#HK [延迟44ms 下载127.49M]
141.11.149.89:2053#HK [延迟44ms 下载127.29M]
45.192.204.162:443#HK [延迟44ms 下载127.10M]
45.39.198.134:443#HK [延迟44ms 下载126.72M]
141.11.148.138:443#HK [延迟44ms 下载126.72M]
156.224.77.166:443#HK [延迟44ms 下载126.33M]
45.202.246.91:8443#MO [延迟46ms 下载126.33M]
156.224.76.205:443#HK [延迟44ms 下载126.14M]
156.224.79.5:443#HK [延迟44ms 下载125.77M]
154.83.87.166:443#HK [延迟44ms 下载125.39M]
45.192.240.101:8443#HK [延迟49ms 下载125.20M]
156.226.168.206:443#HK [延迟44ms 下载125.02M]
151.242.125.130:443#HK [延迟44ms 下载124.28M]
156.226.173.183:443#HK [延迟44ms 下载123.91M]
141.11.90.160:443#HK [延迟46ms 下载123.18M]
45.207.156.204:443#HK [延迟44ms 下载122.82M]
141.11.149.89:443#HK [延迟44ms 下载122.28M]
45.192.205.70:8443#HK [延迟44ms 下载121.93M]
156.224.76.187:443#HK [延迟44ms 下载121.22M]
151.242.125.254:443#HK [延迟44ms 下载120.18M]
45.207.158.243:443#HK [延迟30ms 下载119.50M]
45.192.204.105:443#HK [延迟44ms 下载119.33M]
178.83.206.250:443#HK [延迟44ms 下载118.99M]
45.207.156.146:443#HK [延迟44ms 下载118.48M]
156.224.79.247:443#HK [延迟44ms 下载117.00M]
45.8.186.78:443#HK [延迟49ms 下载115.86M]
45.149.186.55:443#HK [延迟49ms 下载114.44M]
178.253.32.201:443#MO [延迟49ms 下载114.44M]
45.149.186.154:443#HK [延迟49ms 下载113.98M]
154.83.87.218:443#HK [延迟44ms 下载113.67M]
45.207.34.196:443#MO [延迟44ms 下载112.00M]
156.226.173.30:443#HK [延迟44ms 下载105.52M]
156.226.173.114:443#HK [延迟44ms 下载104.34M]
64.90.28.28:443#HK [延迟54ms 下载90.10M]
45.192.247.134:8443#HK [延迟44ms 下载88.21M]
185.81.28.39:443#SG [延迟82ms 下载86.84M]
156.246.92.90:443#JP [延迟6ms 下载83.80M]
82.153.135.54:443#SG [延迟67ms 下载81.60M]
156.224.79.83:443#HK [延迟44ms 下载81.52M]
104.192.92.190:443#SG [延迟67ms 下载76.68M]
185.81.29.47:443#SG [延迟76ms 下载75.78M]
5.253.36.155:8443#SG [延迟82ms 下载74.63M]
185.81.28.7:443#SG [延迟89ms 下载74.63M]
104.192.92.148:443#SG [延迟68ms 下载72.69M]
185.81.28.243:443#SG [延迟75ms 下载71.88M]
185.126.80.89:443#SG [延迟82ms 下载70.97M]
185.155.235.40:8443#TW [延迟44ms 下载70.85M]
185.81.28.101:443#SG [延迟76ms 下载70.49M]
45.202.241.10:443#US [延迟100ms 下载62.88M]
50.114.55.60:443#SG [延迟80ms 下载62.32M]
45.202.242.128:443#US [延迟100ms 下载61.64M]
45.202.240.60:443#US [延迟100ms 下载61.37M]
45.202.240.235:8443#US [延迟100ms 下载60.09M]
45.202.242.132:443#US [延迟103ms 下载59.49M]
45.202.243.134:443#US [延迟103ms 下载59.33M]
45.202.243.92:443#US [延迟103ms 下载58.50M]
45.202.241.185:443#US [延迟103ms 下载58.05M]
45.202.241.67:443#US [延迟100ms 下载57.54M]
45.202.240.132:443#US [延迟103ms 下载57.10M]
45.202.240.107:443#US [延迟106ms 下载57.07M]
45.202.242.95:443#US [延迟103ms 下载56.99M]
45.202.242.11:443#US [延迟107ms 下载56.72M]
45.202.241.225:443#US [延迟103ms 下载56.30M]
45.202.241.165:443#US [延迟103ms 下载55.85M]
45.202.240.234:443#US [延迟100ms 下载55.74M]
5.253.36.92:443#SG [延迟82ms 下载52.89M]
50.114.55.80:443#SG [延迟81ms 下载51.53M]
45.202.243.33:443#US [延迟100ms 下载50.05M]
185.225.20.99:8443#SG [延迟82ms 下载48.02M]
45.207.157.136:443#HK [延迟44ms 下载33.26M]
45.202.248.234:443#HK [延迟44ms 下载31.44M]
156.226.174.20:443#DE [延迟238ms 下载25.30M]
156.226.175.115:443#DE [延迟237ms 下载24.20M]
23.158.136.15:443#US [延迟106ms 下载20.59M]
212.135.39.45:443#GB [延迟204ms 下载11.20M]
141.11.87.48:443#TW [延迟30ms 下载10.01M]
178.83.207.163:2083#HK [延迟44ms 下载9.36M]
82.153.135.219:443#SG [延迟69ms 下载7.95M]
45.149.186.133:443#HK [延迟49ms 下载3.93M]
141.11.87.48:8443#TW [延迟60ms 下载1.70M]
185.155.235.58:8443#HK [延迟44ms 下载0.92M]
185.155.235.58:443#HK [延迟44ms 下载0.91M]
151.242.125.102:443#HK [延迟55ms 下载0.88M]
156.246.89.136:443#JP [延迟5ms 下载0.56M]
83.147.15.253:443#TW [延迟30ms 下载0.42M]
23.158.136.71:443#US [延迟103ms 下载0.40M]
154.83.95.25:443#JP [延迟216ms 下载0.39M]
178.83.206.103:443#HK [延迟44ms 下载0.38M]
156.226.168.252:443#HK [延迟44ms 下载0.31M]
154.16.10.45:443#HK [延迟44ms 下载0.30M]
45.192.204.72:443#HK [延迟44ms 下载0.28M]
83.147.15.86:443#TW [延迟30ms 下载0.26M]
45.192.248.36:443#JP [延迟36ms 下载0.22M]
23.158.136.185:443#US [延迟99ms 下载0.22M]
